# Data structure: one example per line in the form [denom(P), vertices of P*, vertices of denom(P)*P, b(P)]
[63, [[1, 0], [1, 3], [-125, -81]], [[-63, 98], [-63, 0], [18, -27]], 2]
[65, [[1, 0], [0, 1], [-169, -25]], [[-65, 442], [-65, -65], [10, -65]], 9]
[65, [[1, 0], [1, 3], [-194, -75]], [[-65, 169], [-65, 0], [10, -25]], 3]
[66, [[1, 0], [1, 8], [-65, -36]], [[-66, 121], [-66, 0], [6, -9]], 2]
[66, [[1, 0], [5, 8], [-83, -36]], [[-66, 154], [-66, 33], [6, -12]], 2]
[66, [[1, 0], [7, 9], [-59, -24]], [[-66, 165], [-66, 44], [6, -12]], 2]
[70, [[1, 0], [1, 3], [-139, -25]], [[-70, 392], [-70, 0], [5, -25]], 6]
[70, [[1, 0], [1, 5], [-69, -100]], [[-70, 49], [-70, 0], [30, -20]], 1]
[77, [[1, 0], [0, 1], [-363, -98]], [[-77, 286], [-77, -77], [21, -77]], 6]
[85, [[1, 0], [0, 1], [-289, -50]], [[-85, 493], [-85, -85], [15, -85]], 8]
[85, [[1, 0], [1, 2], [-339, -100]], [[-85, 289], [-85, 0], [15, -50]], 4]
[90, [[1, 0], [0, 1], [-324, -125]], [[-90, 234], [-90, -90], [35, -90]], 5]
[90, [[1, 0], [11, 20], [-34, -25]], [[-90, 126], [-90, 45], [10, -10]], 1]
[90, [[1, 0], [3, 4], [-159, -50]], [[-90, 288], [-90, 45], [10, -30]], 3]
[126, [[1, 0], [1, 6], [-125, -162]], [[-126, 98], [-126, 0], [36, -27]], 1]
[132, [[1, 0], [13, 16], [-119, -72]], [[-132, 220], [-132, 99], [12, -18]], 1]
[132, [[1, 0], [5, 16], [-83, -72]], [[-132, 154], [-132, 33], [12, -12]], 1]
[132, [[1, 0], [7, 18], [-59, -48]], [[-132, 165], [-132, 44], [12, -12]], 1]
[135, [[1, 0], [1, 6], [-134, -75]], [[-135, 243], [-135, 0], [15, -25]], 2]
[140, [[1, 0], [1, 6], [-139, -50]], [[-140, 392], [-140, 0], [10, -25]], 3]
[154, [[1, 0], [1, 2], [-461, -196]], [[-154, 363], [-154, 0], [42, -98]], 3]
[170, [[1, 0], [1, 4], [-339, -200]], [[-170, 289], [-170, 0], [30, -50]], 2]
[170, [[1, 0], [3, 4], [-439, -200]], [[-170, 374], [-170, 85], [30, -65]], 2]
[174, [[1, 0], [7, 9], [-109, -20]], [[-174, 957], [-174, 116], [6, -24]], 5]
